key,som_key,lon,lat
B45B0312001,1205,156475.0,420709.0
B39F2953001,1561,179448.18,441079.56
B27D0133001,2568,194300.0,483190.0
OV004.203001,219,230670.0,545919.0
GROO025001,532,184119.0,377010.0
Brongebied Vl Aa-PB16001,2117,216405.0,547505.0
21CC707A001,667,187920.0,505140.0
28AR210B001,755,222298.0,489775.0
B44E0224001,1088,128646.0,413153.0
B32C0610001,2103,143629.0,458730.0
B44H0389001,633,133826.0,407881.0
B46C0111001,2969,183949.0,402941.0
22AP9004001,1530,225792.0,515620.0
B34G1374001,1199,249221.0,460574.0
B33G1185001,2242,203156.0,460512.0
NPD-PB24001,2204,225509.0,534666.0
17DC302B001,401,233056.0,535385.0
B52A1487001,537,183912.0,388105.0
27HG503A001,2982,215522.0,484181.0
B38H2384001,1086,137536.0,436086.0
B31D1558001,16,117540.0,461832.0
B37E0377001,848,81387.7,445379.2
B31D1558003,15,117540.0,461832.0
VILT101001,2988,191679.0,410610.0
B45B0311001,964,156623.0,419754.0
REESTDAL-PB11001,1527,220398.0,518300.0
B31D1428001,13,118814.0,461353.0
DEUR005001,1497,187769.0,382778.0
B26H0599001,1983,174171.72,483919.82
27HL0007001,2862,216730.0,485819.0
B11H0201001,2183,215150.0,550925.0
B30H0126001,2188,90290.0,451461.0
B50B0581001,1904,118107.0,388925.0
B44H0289001,2427,139078.0,404374.0
B34D1241001,286,233077.0,450954.0
RM024.024001,190,228695.0,516452.0
B26H0809001,1033,175702.0,486088.0
DEUR006001,1134,187867.0,383351.0
B12D1813001,2336,230427.0,551759.0
B32C0643001,2958,143528.0,460425.0
B17C0171001,1957,225247.0,534908.0
B41B0193001,285,234755.95,448802.47
B32C0588001,2957,144042.0,457678.0
B16H1422001,133,211271.0,529265.0
B31D1555002,1342,117797.0,462296.0
SANG002001,1969,171540.0,382792.0
21HP0056001,1103,215920.0,506415.0
21FL0032001,1032,210643.0,520290.0
B17C0365001,1713,223759.0,533075.0
B17C1759001,1655,224874.0,534259.0
B17D0109001,2024,231870.0,532900.0
B31D1554002,0,117786.0,462427.0
B45G0304001,373,168816.0,403317.0
B37G0829001,847,86451.0,425547.0
B41D0048001,765,232190.0,433290.0
WIJB011001,552,159176.0,404313.0
B40F0355001,2804,217906.36,447761.54
B34D0338001,466,233059.34,449989.22
B32E0211001,1476,169280.0,462990.0
B31B1240002,1460,117754.0,462695.0
B44E0143001,480,127382.0,422273.0
21HL0024001,1103,217038.0,508489.0
B34C0181001,870,220620.0,458030.0
B41B0200001,287,234480.0,446380.0
B16F2037001,1474,216882.0,546643.0
B32H0402001,678,170546.71,453647.45
B28A0398001,624,221335.88,488547.05
B41A0267001,226,226201.0,443581.0
B45H0075001,2976,178260.0,410008.0
B46D0516001,2502,192381.0,412288.0
B37H0992001,787,93418.0,426443.0
B41D0032001,2689,233340.0,433790.0
B41E0246001,657,242067.22,442969.99
B34E0318001,228,242480.0,463140.0
B41B0279001,466,234021.23,448936.69
5239_PBF001,1037,114423.0,393655.0
B28A0437001,565,221132.7696,497416.0707
B46C0254001,2990,186866.0,401975.0
27FC910A001,746,219030.0,489649.0
B28D0458001,1824,237869.15,481813.82
B17C1758001,1714,224656.0,533687.0
B16F2055001,2417,217666.0,544862.0
B22C0673001,504,223176.84,505894.29
B41A0149001,466,229870.0,442210.0
B28D0458002,1824,237869.15,481813.82
B22C0551001,254,222090.57,508220.78
B27F0054001,504,218660.58,494750.91
B45D0182001,550,159760.0,411640.0
B22C0675001,1279,222597.56,506890.45
B27A0232002,2131,183375.0,489194.0
5231_PBF001,2063,115314.0,395879.0
B33E0338001,1877,205852.05,468003.25
5189_PBF001,492,118028.0,392577.0
B28B0163001,2300,231885.19,490381.01
B28H1766001,223,250504.6,479490.14
