key,som_key,lon,lat
B45E0172001,2304,167937.0,418681.0
B51D0131001,2863,151912.0,375655.0
B40E0268001,2549,208408.1979,448167.287
B39B0330001,2473,159012.45,446946.28
B27H0118001,2311,215664.63,476110.59
B32A0335002,2541,143487.0,466160.0
B28A0092002,2590,223536.46,498759.64
B28F1311002,954,250622.4,495676.75
B34C0097001,1788,228870.0,457410.0
B39B0283003,1630,157056.89,448645.46
B39B0297003,2594,155893.66,449952.44
B34F3236001,2098,250500.0,463889.0
B39B0332001,2293,158836.53,446768.65
B34D0383002,948,236616.3861,455477.888
B22C0134002,165,221127.23,509572.29
Mol 4_1359_FT1_WATHTE_m_NAP_GW_DagGem001,2812,246622.0,441603.0
B28A0134001,2592,226181.29,488081.34
B27G0165002,2849,209979.85,486517.29
B21H0036002,404,215991.61,503899.15
B21H0079004,2363,210945.23,501499.23
B28B0174001,1721,235969.45,487363.23
B34F0780001,2872,256558.79,474943.69
B39F0548002,1782,178876.3,449880.49
B12A0139001,636,223620.0,568630.0
B40F0332001,1242,213948.0,438100.06
B40H0158001,590,215541.97,436987.13
B41B0201001,779,238750.0,444320.0
B28B0151002,2413,235301.71,488949.91
B27E0174002,736,207624.78,488305.75
B50B0215002,401,110730.0,391790.0
B28B1198001,1340,236568.71,488933.28
B43H0256002,189,92886.0,404009.0
B33A0067001,2106,181030.0,463970.0
B32F0068002,1724,170515.0,471255.0
B28C0253001,2711,226761.93,481750.4
B33A0114001,1481,180600.0,473400.0
B12D0159001,995,231031.0,561303.0
B40A0572003,1662,186497.73,446541.84
B40A0559002,2385,186627.6,446754.3
B32F0228001,2527,177250.96,474484.75
B40B0370001,2707,191960.0,448025.0
B33A0065002,2647,185440.0,464660.0
B28C0168001,1300,228185.39,477107.78
B28C0250001,1300,226574.39,477603.28
5274001,814,109735.0,391226.0
B50B0580001,1272,118480.0,398240.0
B28D0454002,527,236620.45,483969.84
B57B0424001,717,151767.0,366061.0
5315001,1748,100202.0,388246.0
B51G2170001,1971,169070.0,378274.0
B45E0898001,1888,167574.0,414115.0
B28C0140002,2829,226258.3,480503.23
B40H0183001,2469,210758.0,434450.0
B28C0171001,1602,224538.44,482026.3
B33G0281001,2652,200930.0,451460.0
B34G0243001,957,242980.0,455520.0
B28F0070001,898,251666.48,497087.12
B28C0198001,2532,225928.78,486468.67
B28C0268001,1603,226482.78,478144.51
B28C0172001,2707,225933.84,483795.29
B40E0253001,2946,200490.0,449340.0
B28C0261001,2473,227553.3,480826.2
B28C0258001,2946,224431.37,484625.94
B32H0229002,1726,172234.93,453910.1
B28F0210004,2700,256072.94,494671.56
B28F0209003,2702,255695.39,494116.58
B28F0209002,2702,255695.39,494116.58
B40H0092001,2823,212615.0,435910.0
B33C0055001,2765,188340.0,459880.0
B46A2192001,50,181560.48,422729.9
B40H1432001,1182,214807.8,436148.05
B52B0456001,2685,196250.0,389330.0
B60B1254001,2337,190469.0,342526.0
B23A0769001,1427,266686.0,524452.0
B39E0117002,2946,161494.347,447220.849
2155001,1639,128388.0,411151.0
5114001,1693,104120.0,393360.0
5221001,2148,120694.0,381447.0
5334001,1329,109308.0,391116.0
B52B0236001,2393,195430.0,390095.0
B52E1850001,1536,209118.0,392254.0
B60B1253001,2277,190244.0,342111.0
B39E0253002,468,167728.52,443934.41
B52G2961001,1784,209190.0,378078.0
2125001,31,129241.0,411323.0
B28F0029001,898,251787.78,497246.92
B60B0196001,2347,197930.0,345660.0
B23A0773001,1427,266055.0,524418.0
B52E0137001,1241,208340.0,387640.0
B52E3240001,240,209038.0,390921.0
B58A0281001,1735,183600.0,373020.0
EA_RH_B04001,1607,263390.0,530057.0
B23A0770001,1427,266420.0,524458.0
B57A0042002,2754,145914.0,368583.0
B52E3239001,422,205094.0,394329.0
B60B0114001,2931,191015.0,346045.0
B57F0077002,1017,172785.0,374805.0
B28E1179001,1066,247653.04,497953.71
B52D1830002,1315,190058.0,381467.0
B28C0382001,1121,228378.44,477992.2
2130_PBF001,624,127070.0,411251.0
B52E3233001,240,205038.0,394923.0
B51C1850002,1309,145577.0,383866.0
B58A0696001,1736,186655.0,373591.0
8129001,489,83302.0,400467.0
B39F2977001,2415,177997.0,444434.0
B15E0163001,97,163420.0,542910.0
B52B0485001,476,199270.0,389940.0
B58A0314001,1736,186650.0,373591.0
B51F1773001,55,172749.0,394186.0
B51C0298001,1243,149917.0,385247.0
2078001,151,129186.0,411262.0
B40F0333001,944,214613.06,438314.61
B40H0161001,1243,214730.0,435930.0
B26F0048002,546,176820.2408,491654.7593
B27A0004001,157,182018.279,494021.6924
2187_PBF001,1189,127190.8659,388703.8607
B26F0045001,607,177760.0454,492205.8695
B27C0106002,2772,182790.0,477860.0
B26F0048003,546,176820.2408,491654.7593
5270_PBF001,341,109400.0,390750.0
B34G0302001,2988,243980.0,459810.0
B39E0230001,2474,165334.91,443354.41
B39E0134001,2949,166019.0,443175.0
B46A1640001,1087,188293.0,417424.0
B52B1747001,2083,197726.0,398448.0
B39F2972001,1122,178627.32,445467.44
B39E0247001,2947,166415.705,442495.815
B33C0129001,2830,189044.1,453502.6
B51C0291001,2170,149891.0,383974.0
B51C0391002,2170,149002.0,383278.0
B58G0138001,654,200200.0,358395.0
B23A0772001,1427,266281.0,524465.0
B40D2175002,1024,197157.0,430305.0
B51C0389001,2230,149883.0,383086.0
B46B0070001,2892,191740.0,417045.0
B33C0125001,2705,188575.45,459588.05
B33D0171001,2830,192005.0,450090.0
B40A0588001,2772,189710.0,448050.0
B40A0587001,2528,183324.55,448424.6
B40A0574001,2385,185490.0,446100.0
B40A0566001,2957,185590.0,446960.0
B40A0572002,1662,186497.73,446541.84
B28F0210003,2700,256072.94,494671.56
